date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2022-03-31,ZLW18P9K,ST14000NM001G,14000519643136,0,80,93821568,,,90,0,100,12,100,0,89,867295791,,,87,12061,100,0,,,100,12,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,68,32,,,100,2,99,2730,32,32,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,11542,100,82317704688,100,166555965924,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZLW0EGC7,ST12000NM001G,12000138625024,0,84,237073736,,,99,0,100,1,100,0,84,253767251,,,83,15305,100,0,,,100,1,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,53,47,,,100,0,99,3929,47,47,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,14659,100,75213417128,100,191137466674,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZA1FLE1P,ST8000NM0055,8001563222016,0,76,43767696,,,89,0,100,8,100,0,93,2179252667,,,83,14930,100,0,,,100,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,61,39,96,9842,100,126,100,788,39,39,76,43767696,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,14873,100,28689836712,100,278756629604,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZA16NQJR,ST8000NM0055,8001563222016,0,77,51229064,,,89,0,100,11,100,0,92,1750005673,,,51,43109,100,0,,,100,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,66,34,95,11576,100,16,68,65836,34,34,77,51229064,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,43073,100,85362050192,100,321649131938,,,,,,,,,,,,,,,,,,,,
2022-03-31,1050A084F97G,TOSHIBA MG07ACA14TA,14000519643136,0,100,0,100,0,100,7770,100,3,100,0,100,0,100,0,80,8234,100,0,,,100,3,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,1,100,13,100,28,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,100,51118082,80,8198,100,0,100,0,,,100,592,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,PL1331LAHEYUGH,HGST HMS5C4040BLE640,4000787030016,0,100,0,133,104,142,542,100,13,100,0,100,0,113,42,94,45203,100,0,,,100,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,395,100,395,253,23,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZA130TTW,ST8000DM002,8001563222016,0,83,198469792,,,94,0,100,3,100,0,84,250252420,,,45,48189,100,0,,,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,70,30,78,44467,100,0,73,54599,30,30,1,198469792,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,48143,100,95173663408,100,354799980422,,,,,,,,,,,,,,,,,,,,
2022-03-31,7040A07GF97G,TOSHIBA MG07ACA14TA,14000519643136,0,100,0,100,0,100,7892,100,6,100,0,100,0,100,0,74,10741,100,0,,,100,6,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1,100,2,100,12,100,23,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,100,236847106,75,10356,100,0,100,0,,,100,594,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,1070A04CF97G,TOSHIBA MG07ACA14TA,14000519643136,0,100,0,100,0,100,7853,100,4,100,0,100,0,100,0,66,13839,100,0,,,100,4,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,3,100,15,100,21,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,100,251920386,67,13398,100,0,100,0,,,100,537,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZL005BVZ,ST12000NM0008,12000138625024,0,79,81764016,,,92,0,100,9,100,0,86,380254756,,,84,14225,100,0,,,100,9,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,71,29,,,100,4,100,704,29,29,1,81764016,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,14120,100,34428193240,100,162923505785,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZLW0GQ83,ST12000NM001G,12000138625024,0,76,43526008,,,93,0,100,6,100,0,87,561159690,,,83,15663,100,0,,,100,6,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,57,43,,,100,2,100,935,43,43,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,15500,100,74822905664,100,313160713788,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZLW0GQ82,ST12000NM001G,12000138625024,0,82,152209472,,,93,0,100,6,100,0,84,280547229,,,90,9037,100,0,,,100,6,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,73,27,,,100,1,100,491,27,27,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8970,100,31458286856,100,116402745343,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZLW0GQ81,ST12000NM001G,12000138625024,0,82,157849224,,,97,0,100,3,100,0,87,552126266,,,83,15669,100,0,,,100,3,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,59,41,,,100,0,100,953,41,41,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,15508,100,74630294240,100,315664922060,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZLW18P9F,ST14000NM001G,14000519643136,0,70,9489896,,,95,0,100,4,100,0,86,355981103,,,86,12703,100,0,,,100,4,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,69,31,,,100,0,100,1867,31,31,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,12001,100,75778538472,100,274085025604,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZLW0GQ87,ST12000NM001G,12000138625024,0,82,164128832,,,90,0,100,17,100,0,86,366622524,,,82,16452,100,0,,,100,16,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,73,27,,,100,4,100,1200,27,27,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,16126,100,75048177000,100,284735906274,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZLW0GQ86,ST12000NM001G,12000138625024,0,82,172479200,,,92,0,100,7,100,0,86,416990813,,,86,12640,100,0,,,100,7,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,72,28,,,100,3,100,792,28,28,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,12483,100,35318716456,100,172622009170,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZLW0GQ85,ST12000NM001G,12000138625024,0,80,111269760,,,94,0,100,5,100,0,87,524407823,,,83,15667,100,0,,,100,4,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,69,31,,,100,0,100,955,31,31,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,15502,100,75420196064,100,333139052002,,,,,,,,,,,,,,,,,,,,
2022-03-31,Z8A0A057F97G,TOSHIBA MG07ACA14TA,14000519643136,0,100,0,100,0,100,7907,100,3,100,0,100,0,100,0,48,20953,100,0,,,100,3,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,77,100,27,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,100,203161603,48,20906,100,0,100,0,,,100,589,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZHZ62XAR,ST12000NM0008,12000138625024,0,66,4217872,,,94,0,100,5,100,0,87,463751955,,,80,17735,100,0,,,100,5,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,71,29,,,100,0,100,974,29,29,1,4217872,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,17603,100,79602170360,100,218009971992,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZHZ5B3TB,ST12000NM0008,12000138625024,0,84,232326976,,,98,0,100,2,100,0,86,360463921,,,81,16992,100,0,,,100,2,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,61,39,,,100,1,100,1837,39,39,2,232326976,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,16663,100,76860206296,100,209993734950,,,,,,,,,,,,,,,,,,,,
2022-03-31,ZHZ62XAW,ST12000NM0008,12000138625024,0,84,228849504,,,92,0,100,7,100,0,87,491172283,,,80,17737,100,0,,,100,7,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,74,26,,,100,2,100,1276,26,26,1,228849504,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,17565,100,80218552664,100,222989255164,,,,,,,,,,,,,,,,,,,,
